obstime,tempr,ap,ws,wd,rh
2016-01-01 00:00:00,-0.8,966.9,62.6,298,57
2016-01-01 01:00:00,-0.6,967.6,61.8,298,50
2016-01-01 02:00:00,-0.9,968.4,61.3,298,57
2016-01-01 03:00:00,-0.4,968.9,61.9,298,51
2016-01-01 04:00:00,-1.2,969.5,61.4,298,54
2016-01-01 05:00:00,-0.2,970,62.6,298,50
2016-01-01 06:00:00,-0.7,970.8,61.9,298,56
2016-01-01 07:00:00,0.1,971.5,54.3,299,55
2016-01-01 08:00:00,0.6,972.1,61.3,300,53
2016-01-01 09:00:00,1.4,972.6,61.9,300,54
2016-01-01 10:00:00,2.3,973.2,60.8,300,53
2016-01-01 11:00:00,3.5,973.6,65.9,298,47
2016-01-01 12:00:00,2.6,974.1,62.6,299,52
2016-01-01 13:00:00,2.6,974.4,61.9,299,53
2016-01-01 14:00:00,3,974.6,56.5,297,52
2016-01-01 15:00:00,2.7,974.6,63.2,298,51
2016-01-01 16:00:00,2.1,974.8,62.6,298,55
2016-01-01 17:00:00,1.6,974.8,62.6,298,55
2016-01-01 18:00:00,1,974.8,62.6,298,57
2016-01-01 19:00:00,1,975.1,62.6,298,58
2016-01-01 20:00:00,0.5,975.7,63.3,298,62
2016-01-01 21:00:00,-0.3,975.9,62.5,298,62
2016-01-01 22:00:00,-1.1,976,63,298,64
2016-01-01 23:00:00,-1.5,976.1,60.8,299,63
2016-01-02 00:00:00,-1.8,976.2,65.5,299,62
2016-01-02 01:00:00,-2.1,976.5,62.6,300,57
2016-01-02 02:00:00,-2,976.8,60.4,297,55
2016-01-02 03:00:00,-2.2,976.5,63.9,296,58
2016-01-02 04:00:00,-1.9,976.5,62.5,299,55
2016-01-02 05:00:00,-1.6,976.6,62.6,299,54
2016-01-02 06:00:00,-0.8,976.4,63.2,299,53
2016-01-02 07:00:00,0,976.3,42.7,310,51
2016-01-02 08:00:00,1.2,976.2,62.6,298,46
2016-01-02 09:00:00,2.1,976.1,61.9,298,47
2016-01-02 10:00:00,2.8,975.9,61.9,298,45
2016-01-02 11:00:00,3,975.8,62.5,298,46
2016-01-02 12:00:00,3.3,975.6,61.9,298,45
2016-01-02 13:00:00,3.2,974.9,61.3,298,48
2016-01-02 14:00:00,3.5,974.5,61.9,298,45
2016-01-02 15:00:00,2.8,974,61,298,49
2016-01-02 16:00:00,2.9,973.4,61.4,299,48
2016-01-02 17:00:00,2.1,972.9,61.3,299,55
2016-01-02 18:00:00,1.5,972.4,60.2,300,55
2016-01-02 19:00:00,0.8,971.9,54.3,303,60
2016-01-02 20:00:00,0.3,971.5,63,300,60
2016-01-02 21:00:00,0.2,970.9,62.6,300,63
2016-01-02 22:00:00,-0.5,970.4,61.9,300,67
2016-01-02 23:00:00,-0.9,969.9,52.7,300,65
2016-01-03 00:00:00,-1.4,969.3,61.9,298,62
2016-01-03 01:00:00,-2.1,968.5,62.6,298,61
2016-01-03 02:00:00,-2.1,967.8,62.6,298,60
2016-01-03 03:00:00,-1.9,967,61.9,298,50
2016-01-03 04:00:00,-1.7,966.1,62.2,298,54
2016-01-03 05:00:00,-1.9,965.4,63.7,298,59
2016-01-03 06:00:00,-2.2,965.1,63.3,298,56
2016-01-03 07:00:00,-1.4,964.7,63.9,298,54
2016-01-03 08:00:00,-0.6,964.1,63.1,298,47
2016-01-03 09:00:00,0.7,963.5,67.1,298,42
2016-01-03 10:00:00,0.7,963.1,62.6,299,52
2016-01-03 11:00:00,-0.3,962.6,63.3,298,58
2016-01-03 12:00:00,-0.6,962.2,61.9,298,59
2016-01-03 13:00:00,0.1,961.5,63.1,299,61
2016-01-03 14:00:00,-0.2,961.1,62.4,298,65
2016-01-03 15:00:00,-0.8,960.6,63.2,300,69
2016-01-03 16:00:00,-1.8,960.3,63.3,300,73
