timestamp,station_id,temperature_celsius,wind_speed_knots,pressure_hpa,humidity_percent,generator_load_percent,energy_consumed_kwh,battery_level_percent,fuel_level_liters,fuel_burn_rate_lph,food_inventory_kg,station_occupancy,occurring_anomaly,predicted_anomaly,disaster_label
2026-08-31 10:24:52,MAITRI,-27.1,42.22,1010.41,61.39,74.65,149.3,97.12,24971.63,28.37,4997.68,28,NONE,NONE,NONE
2026-08-31 10:30:24,MAITRI,-18.39,36.48,988.56,66.86,63.91,127.82,97.12,24975.71,24.29,4998.01,24,NONE,NONE,NONE
2026-08-31 10:30:34,MAITRI,-28.3,12.94,996.81,77.34,77.51,155.02,97.12,24946.26,29.45,4995.35,32,NONE,NONE,NONE
2026-08-31 10:30:44,MAITRI,-37.67,68.72,952.4,96.43,84.55,169.11,74.63,24914.13,32.13,4993.28,25,NONE,NONE,DISASTER_BLIZZARD_EMERGENCY
2026-08-31 10:30:54,MAITRI,-27.39,16.24,993.48,60.68,72.56,145.13,97.12,24886.56,27.57,4991.45,22,NONE,NONE,NONE
2026-08-31 10:31:04,MAITRI,-15.21,13.94,1003.18,75.23,61.78,123.55,97.12,24863.08,23.47,4989.21,27,NONE,NONE,NONE
2026-08-31 10:31:14,MAITRI,-17.27,24.25,1012.6,61.39,63.54,127.08,97.12,24838.94,24.14,4987.05,26,NONE,NONE,NONE
2026-08-31 10:31:24,MAITRI,-34.25,11.33,1010.07,66.49,82.56,165.12,97.12,24807.56,31.37,4984.64,29,NONE,NONE,NONE
2026-08-31 10:31:34,MAITRI,-25.39,11.35,1003.1,55.08,71.26,142.51,97.12,24780.49,27.08,4982.65,24,NONE,NONE,NONE
2026-08-31 10:31:44,MAITRI,-28.61,44.46,1009.44,54.98,76.24,152.48,97.12,24751.51,28.97,4980.33,28,NONE,NONE,NONE
